GAP Feature,Sprint Task,Match Score,Sprint
"Швидке створення карток лояльності, сертифікатів, депозитних карток з картки клієнта(res.partner)",Формування детального переліку полів для картки клієнта (res.partner) та ТЗ на розробку.,0.52,0
Створення карток лояльності з картки клієнта(res.partner),Формування детального переліку полів для картки клієнта (res.partner) та ТЗ на розробку.,0.57,0
Зберігання та відображення дати народження клієнта,"Виконання ТЗ 3: Додавання полів ""Стать"", ""Дата народження"", ""Вік"" до картки клієнта.",0.54,1
Зберігання та відображення дати народження клієнта,"Виконання ТЗ 3: Додавання полів ""Стать"", ""Дата народження"", ""Вік"" до картки клієнта.",0.54,1
Зберігання та відображення балансу депозиту клієнта.,Виконання ТЗ 2: Відображення загальної суми рахунків клієнта на картці клієнта,0.54,1
Автоматичне списання прострочених бонусів з рахунку клієнта,"7.1: Автоматичне списання ""згорілих"" бонусів",0.83,3
Авторизація/реєстрація за номером телефону з підтвердженням по SMS.,5. Авторизація та реєстрація за номером телефону,0.94,4
"Управління специфічними атрибутами товару (ознака фіскальності, акцизного товару).",10. ТЗ: Управління фіскальними атрибутами товарів,0.55,4
Створення спрощеного інтерфейсу касових операцій для адміністратора рецепції.,2.1: Створення моделі та інтерфейсу для Рівнів лояльності,0.51,3
Автоматичне призначення вільного спеціаліста на бронювання.,"7.1: Автоматичне списання ""згорілих"" бонусів",0.50,3
Налаштування прав доступу до звітів та даних.,Налаштування ієрархічної структури компанії.,0.52,0
Розробити технічну документацію на інтеграцію з 1С 7.7.,Розробити технічну документацію на двосторонню інтеграцію з сервером СКД S-Meatronics.,0.87,2
Розробити технічну документацію по односторонній інтеграції з веб-сайтом(Wordpress).,Розробити технічну документацію на двосторонню інтеграцію з сервером СКД S-Meatronics.,0.73,2
Розробити технічну документацію та реалізувати двосторонню інтеграцію з сервером СКД S-Meatronics.,Розробити технічну документацію на двосторонню інтеграцію з сервером СКД S-Meatronics.,0.96,2
